非车辆原因
塞拉门
受电弓
轴温传感器
轴端温度
垫片
限位开关
轴端温度传感器
板卡
门控器
接触器
传感器
抗蛇形减震器
抗蛇形
轴温
轴温超差
牵引电机
温度传感器
空开
减振器
裂纹
风扇
位门
站台补偿器
司机室
速度传感器
位轴
车轴
轮对
工序
库检
异物击打
万向轴
导热膏
涂抹
裙板
更换
sut盒
全列
转向架
轴端
废件
车位
摩擦盘
断路器
主断
辅助丢失
限位开关
辅助变流器
空气簧
牵引变流器
压力传感器
撞鸟
车门
异音
超限
卡滞
烟火报警
电机风扇
跳开
动车组
黑屏
补偿器
漏油
集控
辅变
客室
误操作
导流罩
侧板
注油孔
注油
齿轮箱
